Epoch 1 | WER 100.00000000 | Loss 136.88725281
Epoch 2 | WER 99.99441580 | Loss 109.82883453
Epoch 3 | WER 93.29151388 | Loss 84.32793427
Epoch 4 | WER 87.77990805 | Loss 68.57352448
Epoch 5 | WER 84.27861437 | Loss 60.51374054
Epoch 6 | WER 80.49624928 | Loss 54.59329987
Epoch 7 | WER 75.74781751 | Loss 50.30709457
Epoch 8 | WER 71.73091600 | Loss 47.12832260
Epoch 9 | WER 70.29391508 | Loss 44.81340790
Epoch 10 | WER 68.35619753 | Loss 42.63559341
Epoch 11 | WER 63.98749139 | Loss 40.64258194
Epoch 12 | WER 61.69424641 | Loss 39.08187103
Epoch 13 | WER 60.58857473 | Loss 37.74373245
Epoch 14 | WER 58.47216276 | Loss 36.35820770
Epoch 15 | WER 59.16832642 | Loss 35.20809555
Epoch 16 | WER 56.24965099 | Loss 34.54409409
Epoch 17 | WER 55.46600153 | Loss 33.13017273
Epoch 18 | WER 54.36405264 | Loss 32.48481750
Epoch 19 | WER 52.91774473 | Loss 31.57299042
Epoch 20 | WER 52.78372392 | Loss 30.85974121
Epoch 21 | WER 53.66602759 | Loss 30.83730316
Epoch 22 | WER 50.65055935 | Loss 29.34997177
Epoch 23 | WER 50.52956834 | Loss 28.73827362
Epoch 24 | WER 50.55562794 | Loss 28.50728798
Epoch 25 | WER 48.80032761 | Loss 28.02100945
Epoch 26 | WER 48.87478361 | Loss 27.29724312
Epoch 27 | WER 48.25493736 | Loss 26.73949814
Epoch 28 | WER 47.19580068 | Loss 26.34188461
Epoch 29 | WER 47.67045772 | Loss 25.88986969
Epoch 30 | WER 47.24605849 | Loss 25.58228302
Epoch 31 | WER 46.90356086 | Loss 24.72407722
Epoch 32 | WER 46.29302161 | Loss 24.65770721
Epoch 33 | WER 44.96770471 | Loss 24.24077988
Epoch 34 | WER 45.35115314 | Loss 23.45331383
Epoch 35 | WER 43.62563520 | Loss 23.25391960
Epoch 36 | WER 43.92532063 | Loss 22.81380463
Epoch 37 | WER 45.20596393 | Loss 22.19919968
Epoch 38 | WER 43.27196918 | Loss 22.35439873
Epoch 39 | WER 43.18634477 | Loss 21.82011032
Epoch 40 | WER 43.00765035 | Loss 21.74216270
Epoch 41 | WER 42.51065652 | Loss 21.17734528
Epoch 42 | WER 43.40040579 | Loss 21.07516098
Epoch 43 | WER 42.22400089 | Loss 20.86122704
Epoch 44 | WER 41.61904585 | Loss 20.14608002
Epoch 45 | WER 42.37849711 | Loss 20.36298561
Epoch 46 | WER 45.57079835 | Loss 20.26530457
Epoch 47 | WER 46.16458500 | Loss 20.93531418
Epoch 48 | WER 42.31707090 | Loss 19.84886169
Epoch 49 | WER 41.58554064 | Loss 18.86504364
Epoch 50 | WER 41.07365560 | Loss 18.62368965
Epoch 51 | WER 40.83911919 | Loss 18.57274246
Epoch 52 | WER 40.73488078 | Loss 18.34930420
Epoch 53 | WER 40.39424455 | Loss 18.09692383
Epoch 54 | WER 39.74833870 | Loss 17.98638725
Epoch 55 | WER 39.88794371 | Loss 17.65236855
Epoch 56 | WER 40.28069914 | Loss 17.64064980
Epoch 57 | WER 39.55289169 | Loss 17.51183319
Epoch 58 | WER 39.61990209 | Loss 17.03099823
Epoch 59 | WER 39.53241628 | Loss 16.69144630
Epoch 60 | WER 39.46354448 | Loss 16.63994217
Epoch 61 | WER 39.55847589 | Loss 16.48893166
Epoch 62 | WER 39.58267409 | Loss 16.53232002
Epoch 63 | WER 39.70366510 | Loss 16.51679802
Epoch 64 | WER 41.03084340 | Loss 15.90154743
Epoch 65 | WER 39.11546265 | Loss 16.01850891
Epoch 66 | WER 39.51752508 | Loss 15.44295502
Epoch 67 | WER 38.70037042 | Loss 15.88132572
Epoch 68 | WER 39.37047447 | Loss 15.18564320
Epoch 69 | WER 39.55475309 | Loss 15.06619835
Epoch 70 | WER 38.75993522 | Loss 15.21375561
Epoch 71 | WER 38.62591441 | Loss 14.70320415
Epoch 72 | WER 38.14567318 | Loss 14.62182617
Epoch 73 | WER 37.90182976 | Loss 14.57643700
Epoch 74 | WER 38.04143477 | Loss 14.45767307
Epoch 75 | WER 37.97256296 | Loss 14.19635773
Epoch 76 | WER 38.01723657 | Loss 14.67742729
Epoch 77 | WER 38.63336001 | Loss 14.98219776
Epoch 78 | WER 37.63751094 | Loss 14.32591724
Epoch 79 | WER 36.91342628 | Loss 13.68754005
Epoch 80 | WER 37.69893714 | Loss 13.78547287
Epoch 81 | WER 37.09770489 | Loss 13.70072460
Epoch 82 | WER 40.58783017 | Loss 13.59437561
Epoch 83 | WER 37.30804311 | Loss 13.90661144
Epoch 84 | WER 39.98659792 | Loss 13.64649105
Epoch 85 | WER 38.56076541 | Loss 13.41775799
Epoch 86 | WER 36.66772146 | Loss 13.40369320
Epoch 87 | WER 37.36574651 | Loss 12.79046917
Epoch 88 | WER 37.24847831 | Loss 12.53491402
Epoch 89 | WER 37.07164529 | Loss 12.58700466
Epoch 90 | WER 37.11073469 | Loss 12.42880535
Epoch 91 | WER 37.76036335 | Loss 12.39085960
Epoch 92 | WER 36.75520727 | Loss 12.27662182
Epoch 93 | WER 37.38249912 | Loss 12.30673409
Epoch 94 | WER 37.51279713 | Loss 12.35224247
Epoch 95 | WER 36.34011503 | Loss 12.06345367
Epoch 96 | WER 37.05116989 | Loss 11.80349731
Epoch 97 | WER 36.33825363 | Loss 11.64623737
Epoch 98 | WER 35.90082460 | Loss 11.69565201
Epoch 99 | WER 36.23401523 | Loss 13.18972492
Epoch 100 | WER 36.44063064 | Loss 11.50821114
############################################## 16 batch size start
2E2poch 101 | WER 26.25145082 | Loss 21.01338577
2E2poch 102 | WER 27.72660901 | Loss 19.66106224
2E2poch 103 | WER 28.29008948 | Loss 19.23386574
2E2poch 104 | WER 31.08315549 | Loss 18.72588921
2E2poch 105 | WER 27.93440413 | Loss 19.35025978
2E2poch 106 | WER 29.66228612 | Loss 18.48942757
2E2poch 107 | WER 29.98053091 | Loss 18.51465988
2E2poch 108 | WER 31.59047512 | Loss 18.30921173
2E2poch 109 | WER 29.25231195 | Loss 17.66072655
2E2poch 110 | WER 31.19922124 | Loss 17.44918060
2E2poch 111 | WER 29.99737916 | Loss 17.47517014
2E2poch 112 | WER 31.18798907 | Loss 17.19268417
2E2poch 113 | WER 30.00112322 | Loss 16.81607819
2E2poch 114 | WER 30.99704220 | Loss 16.91028976
2E2poch 115 | WER 31.85068703 | Loss 16.80187607
2E2poch 116 | WER 35.82687484 | Loss 16.41185570
############################################## 16 batch size end
Epoch 101 | WER 17.96374566 | Loss 16.08005714
Epoch 102 | WER 18.02761341 | Loss 15.06919670
Epoch 103 | WER 19.21668076 | Loss 14.72784710
Epoch 104 | WER 19.78961210 | Loss 14.45295238
Epoch 105 | WER 19.89668451 | Loss 14.64867115
Epoch 106 | WER 19.97933690 | Loss 14.77844334
Epoch 107 | WER 20.49591434 | Loss 13.90441418
Epoch 108 | WER 19.62806424 | Loss 13.59466076
Epoch 109 | WER 19.74828590 | Loss 13.37580681
Epoch 110 | WER 20.57480981 | Loss 13.78378582
Epoch 111 | WER 20.79459003 | Loss 13.05063438
Epoch 112 | WER 20.73260073 | Loss 13.18610764
Epoch 113 | WER 20.78895464 | Loss 12.89401913
Epoch 114 | WER 21.82774490 | Loss 12.89870739
Epoch 115 | WER 21.85592186 | Loss 12.62301826
Epoch 116 | WER 20.93171785 | Loss 12.45757008
Epoch 117 | WER 21.87658495 | Loss 12.57343960
Epoch 118 | WER 21.15901193 | Loss 12.31502819
Epoch 119 | WER 21.70564478 | Loss 12.12509918
